-	-	IC555	IR1234	RE5678	IC556	IR1235	RE5679	IC557	IR1236	RE5680	IC558
-	-	r	g	b	m	c	k	r	g	b	m
Lausanne	0	10:12	10:18	10:21	10:42	10:48	10:51	11:12	11:18	11:21	11:42
Renens	6	-	-	10:24	-	-	10:54	-	-	11:24	-
Renens	6.01	-	-	10:26	-	-	10:56	-	-	11:26	-
Morges	13	-	10:25	10:30	-	10:55	11:00	-	11:25	11:30	-
Morges	13.01	-	10:27	10:32	-	10:57	11:02	-	11:27	11:32	-
Allaman	22	-	-	10:36	-	-	11:06	-	-	11:36	-
Allaman	22.01	-	-	10:38	-	-	11:08	-	-	11:38	-
Rolle	28	-	-	10:41	-	-	11:11	-	-	11:41	-
Rolle	28.01	-	-	10:43	-	-	11:13	-	-	11:43	-
Gland	35	-	-	10:46	-	-	11:16	-	-	11:46	-
Gland	35.01	-	-	10:48	-	-	11:18	-	-	11:48	-
Nyon	40	-	10:41	10:51	-	11:11	11:21	-	11:41	11:51	-
Nyon	40.01	-	10:43	10:53	-	11:13	11:23	-	11:43	11:53	-
Coppet	48	-	-	10:57	-	-	11:27	-	-	11:57	-
Coppet	48.01	-	-	10:59	-	-	11:29	-	-	11:59	-
Geneve	63	10:45	10:57	11:09	11:15	11:27	11:39	11:45	11:57	12:09	12:15
Geneve	63.01	10:47	10:59	-	11:17	11:31	-	11:47	11:59	-	12:17
GE-Aeroport	70	10:54	11:06	-	11:24	11:38	-	11:54	12:06	-	12:24
